EbICoWGWAS1	EbICoWGWAS2	StatCor	Psi	allPi	sigPi
Y2	Y10_Y12	-0.07342226	-0.05504328	-0.6497036	-0.420884
Y2	Y4_Y9	-0.2213155	-0.2032365	-0.5254208	0.1491817
Y2	Y1_Y3	-0.1593828	-0.1575815	-0.2006227	-0.5913779
Y2	Y6_Y11L	0.02052367	0.01165764	0.2357383	0.5148344
Y2	Y8_Y5_Y7	0.3588152	0.3371736	0.8326601	0.1631849
Y10_Y12	Y4_Y9	0.03025838	0.04629263	-0.2771288	-0.3412578
Y10_Y12	Y1_Y3	0.1328171	0.1750992	-0.7559995	0.1434348
Y10_Y12	Y6_Y11L	-0.04257423	-0.08413607	1	0.3955327
Y10_Y12	Y8_Y5_Y7	0.3276295	0.311666	0.7867249	0.8295855
Y4_Y9	Y1_Y3	-0.1542786	-0.1576407	-0.1187992	-0.7038687
Y4_Y9	Y6_Y11L	-0.4425167	-0.4090157	-0.9947935	-0.8808953
Y4_Y9	Y8_Y5_Y7	-0.5255776	-0.5082615	-0.7899925	-0.716946
Y1_Y3	Y6_Y11L	-0.128892	-0.1779793	0.6864176	0.5332014
Y1_Y3	Y8_Y5_Y7	-0.0115335	-0.06058305	0.7252527	0.6923229
Y6_Y11L	Y8_Y5_Y7	0.2853512	0.2223041	1	0.8634367
