GWAS1	GWAS2	StatCor	Psi	allPi	sigPi
Y1	Y2	-0.02732298	-0.02037757	-0.3575676	1
Y1	Y3	-0.1902402	-0.2371019	1	0.09205446
Y1	Y4	0.5307545	0.5110623	1	-1
Y1	Y5	0.3191808	0.3033804	1	1
Y1	Y6	0.05299891	0.05995881	-0.3716974	0.2359622
Y1	Y7	-0.1202057	-0.09670888	-1	1
Y1	Y8	-0.08689353	-0.07627485	-0.5794221	-0.01903919
Y1	Y9	-0.1266726	-0.09882663	-1	-0.0257649
Y1	Y10	0.02409297	0.0366164	-1	0.231103
Y1	Y11L	0.6164545	0.6009343	1	0
Y1	Y12	0.3468798	0.3586648	-1	1
Y2	Y3	-0.1502132	-0.1680176	0.2865956	-0.6597469
Y2	Y4	-0.1439815	-0.1433823	-0.1658461	-0.753586
Y2	Y5	0.2049679	0.2320311	-0.8826505	1
Y2	Y6	0.06916252	0.09813823	-0.8729054	0.5474655
Y2	Y7	0.04851173	0.03518688	0.8430123	-0.453304
Y2	Y8	0.4854812	0.486456	0.4631263	0.2112988
Y2	Y9	0.1731606	0.1872186	-0.1023052	-0.2663397
Y2	Y10	0.1300795	0.1284307	0.6790854	-0.3194363
Y2	Y11L	0.07944894	0.1314749	-1	0.3289488
Y2	Y12	-0.2138973	-0.2042728	-1	-0.3897751
Y3	Y4	0.4583084	0.4593868	0.4370718	-0.0869398
Y3	Y5	-0.1014492	-0.07193528	-1	-0.2143538
Y3	Y6	-0.05710324	-0.1067898	1	0.2705035
Y3	Y7	0.4433565	0.4446564	0.5410704	1
Y3	Y8	-0.07739837	-0.07810797	-0.06091394	0.3826227
Y3	Y9	0.5189429	0.5087096	0.7313636	0.7577801
Y3	Y10	0.00674432	0.04764929	-1	0.693137
Y3	Y11L	-0.09616371	-0.150252	1	0.0336769
Y3	Y12	-0.03050465	-0.02157345	-1	0.005111348
Y4	Y5	-0.06770976	-0.087115	0.9243471	-1
Y4	Y6	-0.1737479	-0.1575593	-0.8313332	-0.8281898
Y4	Y7	0.1239329	0.1161273	0.7156201	1
Y4	Y8	-0.1031947	-0.04461012	-1	-0.5463665
Y4	Y9	0.08620579	0.1395693	-1	-0.5123516
Y4	Y10	-0.08734938	-0.06685856	-1	1
Y4	Y11L	0.2457081	0.2007582	1	0
Y4	Y12	0.3191714	0.3427908	-1	-0.08301175
Y5	Y6	0.05548924	0.05616363	0.02045193	-0.5605398
Y5	Y7	-0.08189431	-0.06451709	-1	-0.2799417
Y5	Y8	0.1990033	0.2024073	0.09682707	-0.4326309
Y5	Y9	0.02434603	-0.0006419567	0.8561546	-0.007993327
Y5	Y10	0.06297449	0.03745946	1	0.3603802
Y5	Y11L	0.6575725	0.6690513	-1	1
Y5	Y12	-0.1445847	-0.1593117	1	-0.966866
Y6	Y7	0.06896572	0.04959225	1	0.577085
Y6	Y8	0.2206087	0.168909	1	0.6326747
Y6	Y9	0.3385026	0.3431128	0.2585109	0.8693618
Y6	Y10	0.1294879	0.1330033	-0.4037361	0.4940288
Y6	Y11L	0.04129793	0.06700723	-1	-0.04372984
Y6	Y12	-0.0439315	-0.05977271	1	-0.2429042
Y7	Y8	0.1809743	0.1834704	0.1205062	0.07955158
Y7	Y9	0.6085524	0.6081966	1	0.6611922
Y7	Y10	0.180264	0.1637138	1	0.5765389
Y7	Y11L	-0.1699172	-0.1682697	-0.8703334	-0.1239889
Y7	Y12	-0.1923461	-0.2055878	1	-0.9503541
Y8	Y9	0.4162607	0.392774	0.8657278	0.7074048
Y8	Y10	0.5000557	0.4913666	1	0.9044037
Y8	Y11L	0.1008085	0.1257052	-1	0.3941666
Y8	Y12	-0.0970254	-0.05117263	-1	0.2791198
Y9	Y10	0.2773015	0.2434912	1	0.9630647
Y9	Y11L	-0.1012689	-0.1023987	-0.2587023	-0.2262035
Y9	Y12	-0.2171421	-0.1936962	-1	-0.360038
Y10	Y11L	-0.1997607	-0.2093064	1	0.05941996
Y10	Y12	-0.3239865	-0.3400482	1	0.6067205
Y11L	Y12	0.4408202	0.4211541	1	-0.1781178
