Round	GWAS1	GWAS2	NewGWAS	CovType	Evaluate	Eff1X2	Eff2X2	NewEffX2	Psi	allPi	sigPi	sigSNP1N	sigSNP2N	sigSNPminN	sigSNPAECN	sigSNPSECN	sigSNPSTBN	sigSNPPWDN	sigSNPAECuniN	sigSNPSECuniN	sigSNPSTBuniN	sigSNPAECinterN	sigSNPSECinterN	sigSNPSTBinterN	Ess1	Ess2	EssNew	bw1	bw2	tw1	tw2
1	Y10	Y12	Y10_Y12	AEC	TRUE	0.001	0.001016	0.02536866	-0.3400482	1	0.6067205	11	4	11	40	38	40	30	6	6	6	0	0	0	9528	9912	29441	0.492791	0.507209	0.8664658	0.8743382
2	Y4	Y10_Y12	Y4_Y10_Y12	NA	FALSE	0.026018	0.02536866	NA	0.2521837	-1	-0.3546202	1	40	40	35	43	32	25	34	27	12	0	0	0	NA	NA	NA	NA	NA	NA	NA
3	Y4	Y9	Y4_Y9	SEC	TRUE	0.026018	0.062687	0.102371	0.1395693	-1	-0.5123516	1	76	76	75	109	65	90	42	70	36	0	0	0	10300	10705	20021	0.2881084	-0.7118916	0.4016838	-0.9735556
4	Y5	Y10_Y12	Y5_Y10_Y12	NA	FALSE	0.014624	0.02536866	NA	-0.03416757	-1	-0.6920844	1	40	40	33	37	34	41	16	21	18	0	0	0	NA	NA	NA	NA	NA	NA	NA
5	Y11L	Y10_Y12	Y11L_Y10_Y12	NA	FALSE	0.001	0.02536866	NA	0.2295823	-1	-0.1195186	3	40	40	34	40	42	31	20	40	40	0	0	0	NA	NA	NA	NA	NA	NA	NA
6	Y1	Y3	Y1_Y3	SEC	TRUE	0.011337	0.04116	0.08464186	-0.2371019	1	0.09205446	0	13	13	24	32	27	7	3	11	5	0	0	0	9834	10616	22945	0.3235955	0.6764045	0.4942623	0.9943669
7	Y6	Y7	Y6_Y7	NA	FALSE	0.023312	0.007304	NA	0.04959225	1	0.577085	20	5	20	28	30	34	31	20	20	19	0	0	0	NA	NA	NA	NA	NA	NA	NA
8	Y5	Y11L	Y5_Y11L	NA	FALSE	0.014624	0.001	NA	0.6690513	-1	1	1	3	3	0	3	1	1	0	1	1	0	0	1	NA	NA	NA	NA	NA	NA	NA
9	Y7	Y10_Y12	Y7_Y10_Y12	NA	FALSE	0.007304	0.02536866	NA	-0.03103434	1	0.2363423	5	40	40	26	25	21	33	15	10	13	0	0	0	NA	NA	NA	NA	NA	NA	NA
10	Y6	Y8	Y6_Y8	NA	FALSE	0.023312	0.04468	NA	0.168909	1	0.6326747	20	23	37	34	33	34	35	27	26	28	2	2	2	NA	NA	NA	NA	NA	NA	NA
11	Y6	Y11L	Y6_Y11L	AEC	TRUE	0.023312	0.001	0.04204819	0.06700723	-1	-0.04372984	20	3	20	34	22	28	23	15	20	11	0	0	0	9766	9608	19293	0.6332147	-0.3667853	0.8898876	-0.5196894
12	Y1_Y3	Y6_Y11L	Y1_Y3_Y6_Y11L	NA	FALSE	0.08464186	0.04204819	NA	-0.1779793	0.6864176	0.5332014	32	34	35	38	48	47	47	22	33	30	0	0	0	NA	NA	NA	NA	NA	NA	NA
13	Y10_Y12	Y6_Y11L	Y10_Y12_Y6_Y11L	NA	FALSE	0.02536866	0.04204819	NA	-0.08413607	1	0.3955327	40	34	48	38	38	39	48	26	26	27	0	0	0	NA	NA	NA	NA	NA	NA	NA
14	Y5	Y7	Y5_Y7	AEC	TRUE	0.014624	0.007304	0.02781049	-0.06451709	-1	-0.2799417	1	5	5	17	16	16	8	0	0	0	0	0	0	9729	9707	17946	0.571583	-0.428417	0.7761779	-0.5824228
15	Y2	Y5_Y7	Y2_Y5_Y7	NA	FALSE	0.040363	0.02781049	NA	0.1669893	-0.9688572	-0.04369871	25	17	35	12	21	11	29	10	21	6	0	0	0	NA	NA	NA	NA	NA	NA	NA
16	Y6_Y11L	Y5_Y7	Y6_Y11L_Y5_Y7	NA	FALSE	0.04204819	0.02781049	NA	-0.2789858	-1	-0.784315	34	17	34	34	33	32	34	28	28	26	13	13	13	NA	NA	NA	NA	NA	NA	NA
17	Y8	Y6_Y11L	Y8_Y6_Y11L	NA	FALSE	0.04468	0.04204819	NA	0.1150823	0.7919047	0.5245169	23	34	39	27	32	35	38	22	28	30	1	1	1	NA	NA	NA	NA	NA	NA	NA
18	Y4_Y9	Y6_Y11L	Y4_Y9_Y6_Y11L	NA	FALSE	0.102371	0.04204819	NA	-0.4090157	-0.9947935	-0.8808953	109	34	109	103	103	82	93	101	102	73	13	10	13	NA	NA	NA	NA	NA	NA	NA
19	Y10_Y12	Y1_Y3	Y10_Y12_Y1_Y3	NA	FALSE	0.02536866	0.08464186	NA	0.1750992	-0.7559995	0.1434348	40	32	45	32	31	35	46	10	7	21	0	0	0	NA	NA	NA	NA	NA	NA	NA
20	Y2	Y10_Y12	Y2_Y10_Y12	NA	FALSE	0.040363	0.02536866	NA	-0.05504328	-0.6497036	-0.420884	25	40	51	40	47	42	62	28	31	28	0	0	0	NA	NA	NA	NA	NA	NA	NA
21	Y8	Y4_Y9	Y8_Y4_Y9	NA	FALSE	0.04468	0.102371	NA	-0.4033362	-0.9843394	-0.679826	23	109	109	111	91	90	106	109	83	81	1	1	1	NA	NA	NA	NA	NA	NA	NA
