Trait1	Trait2	T1Eff	T2Eff	StatCor	BgCor	EffCov	EffCor	T1sEff	T2sEff	EffsCov	EffsCor
phe1	phe2	0.001	0.05385321	0.6179254	0.6315946	0.003068402	0.4181253	1e-06	1e-06	0	0
phe1	phe3	0.001	0.07498488	0.3483131	0.3514835	0.009833245	1	1e-06	1e-06	0	0
phe1	phe4	0.001	0.05779729	0.5289	0.4877545	0.05648725	1	0	2.21466e-09	0	0
phe1	phe5	0.001	0.01806348	0.6194396	0.6334276	-0.008106007	-1	0	6.504453e-09	0	0
phe2	phe3	0.05385321	0.07498488	0.4883036	0.4549663	0.06476774	1	1e-06	1e-06	0	0
phe2	phe4	0.05385321	0.05779729	0.766449	0.7306966	0.07853813	1	0	2.21466e-09	0	0
phe2	phe5	0.05385321	0.01806348	0.7233017	0.7135583	0.03564028	1	0	6.504453e-09	0	0
phe3	phe4	0.07498488	0.05779729	0.3210002	0.3056008	0.03669987	0.5574731	0	2.21466e-09	0	0
phe3	phe5	0.07498488	0.01806348	0.3107004	0.2583833	0.06665195	1	0	6.504453e-09	0	0
phe4	phe5	0.05779729	0.01806348	0.8005699	0.8029828	0.02780085	0.8604064	2.21466e-09	6.504453e-09	0	0
